elapsed	rss_kb	fds	cpu_s	log_bytes
41134	504960	8	6515.81	65605632
41194	512560	8	6522.19	65605632
41254	485808	8	6528.14	66654208
41314	468000	8	6535.61	66654208
41374	458880	8	6542.18	66654208
41434	484816	8	6548.91	66654208
41494	501072	8	6555.78	66654208
41554	485680	8	6562.97	66654208
41614	496752	8	6571.97	66654208
41674	496848	8	6579.93	66654208
41734	489904	8	6587.25	66654208
41794	495552	8	6595.41	66654208
41854	476992	8	6603.14	66682880
41914	471792	8	6609.22	66785280
41974	487248	8	6615.47	66883584
42034	482416	8	6623.92	66981888
42095	481264	8	6632.77	67084288
42155	504864	8	6641.93	67182592
42215	508832	8	6650.73	67284992
42275	468736	8	6657.68	67383296
42335	474688	8	6663.80	67481600
42395	481328	8	6670.46	67571712
42455	481216	8	6677.51	68620288
42515	467984	8	6684.78	68620288
42575	476304	8	6691.66	68620288
42635	455312	8	6698.48	68620288
42695	444304	8	6704.43	68620288
42755	433664	8	6710.55	68620288
42815	442416	8	6716.63	68620288
42875	454192	8	6721.51	68620288
42935	464896	8	6726.44	68620288
42995	423696	8	6731.74	68620288
43055	438560	8	6736.78	68620288
43115	454320	8	6742.57	68620288
43175	450320	8	6748.23	68620288
43235	368624	8	6753.62	85397504
43295	368624	8	6758.56	85397504
43355	368448	8	6764.58	85397504
43416	377984	8	6771.20	85397504
43476	355536	8	6778.19	85397504
43536	366976	8	6783.57	85397504
43596	379952	8	6790.39	85397504
43656	370160	8	6796.02	85397504
43716	364176	8	6802.01	85397504
43776	374624	8	6808.68	85397504
43836	367280	8	6814.41	85397504
43896	374672	8	6820.50	85397504
43956	389840	8	6827.17	85397504
44016	361776	8	6833.68	85397504
44076	377104	8	6838.83	85397504
44136	376608	8	6844.35	85397504
44196	366992	8	6849.63	85397504
44256	383952	8	6856.00	85397504
44316	399776	8	6861.28	85397504
44376	412896	8	6866.76	85397504
44436	372912	8	6871.68	85397504
44496	359312	8	6877.21	85397504
44556	357552	8	6881.94	85397504
44616	358784	8	6887.95	85397504
44677	359888	8	6893.47	85397504
44737	359456	8	6900.01	85397504
44797	372304	8	6905.11	85397504
44857	371632	8	6910.01	85397504
44917	359520	8	6915.77	85397504
44977	316432	8	6923.23	85397504
45037	359136	8	6930.74	85397504
45097	356176	8	6935.32	85397504
45157	367760	8	6939.99	85397504
45217	353728	8	6944.71	85397504
45277	360096	8	6950.77	85397504
45337	370032	8	6956.86	85397504
45397	356544	8	6962.22	85397504
45457	372208	8	6968.65	85397504
45517	375088	8	6973.81	85397504
45578	379568	8	6979.99	85397504
45638	393664	8	6988.12	85397504
45698	407248	8	6995.56	85397504
45758	415408	8	7002.42	85397504
45818	390928	8	7009.65	85397504
45878	391760	8	7018.42	85397504
45938	338944	8	7026.75	85397504
45998	339456	8	7034.60	85397504
46058	347584	8	7041.15	85397504
46118	349936	8	7047.75	85397504
46178	352624	8	7055.60	85397504
46238	341312	8	7063.70	85397504
46298	361040	8	7072.27	85397504
46358	352016	8	7079.61	85397504
46418	370944	8	7088.71	85397504
46478	371776	8	7096.92	85397504
46538	355264	8	7104.17	85397504
46598	374912	8	7112.26	85397504
46659	395872	8	7122.03	85397504
46719	413392	8	7130.80	85397504
46779	423648	8	7139.74	85397504
46839	430112	8	7149.45	85397504
46899	437936	8	7159.42	85397504
46959	439088	8	7167.46	85397504
47019	443856	8	7175.14	85397504
47079	428656	8	7180.98	85397504
47139	438576	8	7186.22	85397504
47199	443328	8	7192.65	85397504
47259	462560	8	7199.09	85397504
47319	469760	8	7207.63	85397504
47379	471408	8	7217.09	85397504
47439	469696	8	7225.96	85397504
47499	370304	8	7233.67	85397504
47559	363168	8	7242.06	85397504
47619	359088	8	7249.71	85397504
47679	370624	8	7256.72	85397504
47739	375328	8	7263.89	85397504
47799	357344	8	7270.12	85397504
47860	360400	8	7274.96	85397504
47920	375840	8	7281.61	85397504
47980	379344	8	7288.83	85397504
48040	379856	8	7293.02	85397504
48100	398096	8	7296.38	85397504
48160	401232	8	7300.33	85397504
48220	408208	8	7307.53	85397504
48280	384208	8	7315.42	85397504
48340	392352	8	7323.46	85397504
48400	379872	8	7331.30	85397504
48460	387392	8	7338.87	85397504
48520	392656	8	7344.47	85397504
48580	407120	8	7349.30	85397504
48640	404576	8	7354.22	85397504
48700	364864	8	7359.73	85397504
48760	353216	8	7367.04	85397504
48820	173632	8	7380.78	85397504
48881	358400	8	7387.99	85397504
48941	355824	8	7392.05	85397504
49001	359104	8	7397.38	85397504
49061	378112	8	7401.44	85397504
49121	389104	8	7406.53	85397504
49181	398064	8	7410.76	92581888
49241	388624	8	7414.87	92581888
49301	389424	8	7420.79	92581888
49361	363136	8	7424.87	92581888
49421	377792	8	7429.26	92581888
